Time,Heart Rate
13:03:15,81
13:03:25,85
13:03:30,85
13:03:35,82
13:03:40,81
13:03:55,81
13:04:00,82
13:04:10,84
13:04:15,88
13:04:20,87
13:04:25,84
13:04:30,83
13:04:35,81
13:04:40,78
13:04:55,78
13:05:00,77
13:05:10,78
13:05:15,83
13:05:20,84
13:05:25,85
13:05:30,88
13:05:35,89
13:05:40,89
13:05:50,87
13:05:55,86
13:06:00,85
13:06:05,84
13:06:20,86
13:06:25,85
13:06:35,81
13:06:50,81
13:06:55,83
13:07:00,82
13:07:10,82
13:07:15,81
13:07:25,71
13:07:30,67
13:07:35,68
13:07:45,67
13:07:50,64
13:07:55,70
13:08:00,72
13:08:15,72
13:08:25,69
13:08:35,70
13:08:40,67
13:08:45,64
13:08:51,62
13:08:56,62
13:09:11,63
13:09:16,64
13:09:21,65
13:09:26,67
13:09:31,75
13:09:36,76
13:09:41,75
13:09:51,76
13:10:06,76
13:10:11,77
13:10:21,76
13:10:31,74
13:10:46,74
13:10:56,76
13:11:01,92
13:11:16,92
13:11:21,93
13:11:26,96
13:11:31,93
13:11:36,95
13:11:41,94
13:11:56,94
13:12:01,94
13:12:16,86
13:12:26,84
13:12:36,86
13:12:41,93
13:12:51,90
13:12:56,85
13:13:01,87
13:13:06,86
13:13:11,87
13:13:26,85
13:13:41,85
13:13:46,83
13:13:51,82
13:13:56,84
13:14:11,85
13:14:16,88
13:14:21,86
13:14:26,87
13:14:31,86
13:14:36,87
13:14:41,88
13:14:51,87
13:15:06,84
13:15:11,82
13:15:26,81
13:15:31,80
13:15:36,80
13:15:46,81
13:15:56,75
13:16:01,71
13:16:11,72
13:16:16,71
13:16:21,76
13:16:26,83
13:16:31,81
13:16:41,83
13:16:46,87
13:16:56,86
13:17:01,85
13:17:06,83
13:17:11,79
13:17:16,79
13:17:31,80
13:17:46,81
13:17:51,79
13:18:06,79
13:18:11,80
13:18:16,86
13:18:31,86
13:18:36,88
13:18:41,87
13:18:46,84
13:18:51,81
13:18:56,81
13:19:06,80
13:19:11,80
13:19:16,79
13:19:31,79
13:19:41,78
13:19:56,78
13:20:11,80
13:20:16,82
13:20:21,81
13:20:26,80
13:20:31,79
13:20:46,81
13:20:51,80
13:20:56,76
13:21:01,71
13:21:06,74
13:21:16,73
13:21:21,76
13:21:26,83
13:21:31,84
13:21:41,85
13:21:51,86
13:21:56,84
13:22:11,83
13:22:16,75
13:22:21,74
13:22:26,74
13:22:31,75
13:22:41,85
13:22:46,90
13:22:51,90
13:22:56,88
13:23:01,86
13:23:06,85
13:23:16,86
13:23:21,87
13:23:26,89
13:23:31,84
13:23:36,83
13:23:51,83
13:23:56,84
13:24:01,85
13:24:06,84
13:24:16,83
13:24:26,86
13:24:31,82
13:24:41,81
13:24:46,79
13:24:56,78
13:25:01,77
13:25:06,78
13:25:11,79
13:25:16,80
13:25:21,80
13:25:36,81
13:25:41,81
13:25:56,81
13:26:11,80
13:26:16,81
13:26:21,82
13:26:26,83
13:26:31,82
13:26:41,81
13:26:46,80
13:26:51,81
13:26:56,82
13:27:01,81
13:27:11,82
13:27:21,84
13:27:26,87
13:27:31,85
13:27:46,84
13:28:01,84
13:28:11,81
13:28:16,80
13:28:21,79
13:28:26,78
13:28:41,78
13:28:42,78
13:28:47,77
13:28:52,76
13:29:07,76
13:29:22,76
13:29:37,77
13:29:42,76
13:29:47,77
13:29:52,82
13:29:57,85
13:30:02,86
13:30:07,87
13:30:17,81
13:30:22,73
13:30:27,72
13:30:32,70
13:30:37,68
13:30:52,68
13:30:57,71
13:31:02,72
13:31:12,73
13:31:17,72
13:31:22,74
13:31:27,75
13:31:37,76
13:31:42,77
13:31:47,76
13:31:52,76
13:32:02,77
13:32:07,76
13:32:17,78
13:32:22,78
13:32:32,78
13:32:37,79
13:32:42,79
13:32:52,80
13:32:57,84
13:33:02,81
13:33:12,80
13:33:27,80
13:33:37,82
13:33:42,89
13:33:52,87
13:33:57,84
13:34:07,80
13:34:12,81
13:34:17,80
13:34:32,80
13:34:47,80
13:34:52,79
13:34:57,78
13:35:12,79
13:35:17,80
13:35:22,83
13:35:27,83
13:35:37,80
13:35:52,80
13:35:57,79
13:36:07,78
13:36:12,77
13:36:22,79
13:36:32,82
13:36:37,87
13:36:42,87
13:36:47,86
13:36:52,85
13:36:57,84
13:37:12,84
13:37:17,87
13:37:22,85
13:37:32,87
13:37:37,89
13:37:42,90
13:37:47,91
13:37:52,88
13:38:02,87
13:38:12,86
13:38:17,82
13:38:22,82
13:38:27,80
13:38:32,79
13:38:37,78
13:38:42,77
13:38:52,77
13:39:02,78
13:39:07,79
13:39:12,80
13:39:17,84
13:39:22,84
13:39:27,85
13:39:32,85
13:39:37,84
13:39:47,83
13:39:52,82
13:40:02,81
13:40:12,81
13:40:17,80
13:40:22,81
13:40:32,83
13:40:47,83
13:40:52,82
13:41:07,82
13:41:17,84
13:41:22,86
13:41:27,87
13:41:32,88
13:41:37,87
13:41:43,87
13:41:58,87
13:42:03,86
13:42:08,94
13:42:13,96
13:42:18,97
13:42:23,96
13:42:28,93
13:42:33,92
13:42:48,90
13:42:53,91
13:43:08,91
13:43:13,90
13:43:18,89
13:43:33,89
13:43:43,87
13:43:48,85
13:43:58,86
13:44:13,83
13:44:18,85
13:44:23,88
13:44:28,89
13:44:43,88
13:44:53,87
13:44:58,86
13:45:03,86
13:45:08,87
13:45:23,87
13:45:28,86
13:45:33,85
13:45:38,84
13:45:53,83
13:46:03,83
13:46:13,83
13:46:28,83
13:46:33,84
13:46:38,84
13:46:48,82
13:46:53,81
13:47:03,82
13:47:08,81
13:47:13,80
13:47:28,80
13:47:43,78
13:47:48,75
13:47:53,74
13:47:58,73
13:48:03,74
13:48:08,80
13:48:13,82
13:48:18,78
13:48:23,71
13:48:33,73
13:48:38,73
13:48:53,74
13:48:58,75
13:49:03,76
13:49:13,75
13:49:23,76
13:49:28,75
13:49:33,76
13:49:43,77
13:49:48,77
13:50:03,76
13:50:08,75
13:50:23,78
13:50:28,78
13:50:33,80
13:50:38,80
13:50:43,79
13:50:48,81
13:50:58,81
13:51:03,81
13:51:18,81
13:51:28,80
13:51:33,77
13:51:48,77
13:51:53,79
13:52:08,79
13:52:09,81
13:52:14,84
13:52:19,71
13:52:24,70
13:52:39,71
13:52:54,71
13:53:04,73
13:53:09,76
13:53:14,80
13:53:29,80
13:53:34,80
13:53:44,88
13:53:49,84
13:53:54,82
13:53:59,83
13:54:14,84
13:54:19,76
13:54:29,83
13:54:34,84
13:54:44,86
13:54:49,90
13:55:04,90
13:55:09,89
13:55:19,87
13:55:24,83
13:55:29,86
13:55:39,84
13:55:44,83
13:55:49,84
13:55:59,77
13:56:14,75
13:56:24,77
13:56:39,77
13:56:49,77
13:56:59,78
13:57:04,71
13:57:14,73
13:57:19,75
13:57:24,77
13:57:39,77
13:57:54,77
13:57:59,76
13:58:04,78
13:58:09,88
13:58:14,85
13:58:19,82
13:58:24,79
13:58:29,77
13:58:39,76
13:58:49,77
13:58:54,77
13:58:59,77
13:59:04,78
13:59:09,79
13:59:19,79
13:59:24,79
13:59:29,83
13:59:34,86
13:59:44,86
13:59:59,85
14:00:09,84
14:00:14,82
14:00:19,77
14:00:24,78
14:00:29,77
14:00:34,75
14:00:44,74
14:00:49,73
14:01:04,73
14:01:09,71
14:01:14,69
14:01:24,70
14:01:29,71
14:01:34,71
14:01:39,71
14:01:44,71
14:01:54,66
14:02:00,66
14:02:05,67
14:02:10,69
14:02:25,69
14:02:30,73
14:02:35,77
14:02:45,76
14:02:55,75
14:03:05,75
14:03:15,74
14:03:20,73
14:03:25,75
14:03:30,77
14:03:35,75
14:03:40,74
14:03:55,75
14:04:05,76
14:04:20,76
14:04:35,76
14:04:40,68
14:04:50,71
14:05:05,71
14:05:15,72
14:05:25,79
14:05:30,80
14:05:35,81
14:05:40,80
14:05:45,81
14:05:50,84
14:05:55,85
14:06:00,84
14:06:05,82
14:06:10,78
14:06:20,82
14:06:25,85
14:06:30,84
14:06:35,78
14:06:40,77
14:06:50,87
14:06:55,92
14:07:05,93
14:07:10,97
14:07:25,97
14:07:30,98
14:07:35,98
14:07:50,98
14:08:05,97
14:08:20,98
14:08:30,97
14:08:35,95
14:08:40,92
14:08:45,91
14:08:50,92
14:08:55,91
14:09:00,90
14:09:15,90
14:09:30,90
14:09:35,89
14:09:40,85
14:09:45,87
14:09:50,88
14:09:55,89
14:10:10,89
14:10:15,90
14:10:20,90
14:10:25,97
14:10:30,100
14:10:35,100
14:10:50,100
14:10:55,100
14:11:10,100
14:11:20,101
14:11:35,101
14:11:40,102
14:11:45,102
14:11:55,100
14:12:00,98
14:12:05,94
14:12:10,93
14:12:20,94
14:12:25,91
14:12:30,89
14:12:35,87
14:12:40,88
14:12:45,89
14:12:50,91
14:13:00,87
14:13:05,87
14:13:20,86
14:13:25,87
14:13:30,85
14:13:35,84
14:13:40,85
14:13:45,83
14:14:00,82
14:14:10,84
14:14:15,83
14:14:20,82
14:14:25,81
14:14:35,82
14:14:40,82
14:14:45,83
14:15:00,81
14:15:05,78
14:15:15,79
14:15:20,78
14:15:30,80
14:15:35,82
14:15:40,83
14:15:45,84
14:15:55,83
14:16:00,81
14:16:10,81
14:16:20,80
14:16:25,81
14:16:30,83
14:16:40,86
14:16:45,93
14:16:55,94
14:17:05,96
14:17:20,96
14:17:30,95
14:17:35,94
14:17:40,95
14:17:55,95
14:18:05,98
14:18:10,99
14:18:15,100
14:18:25,100
14:18:30,99
14:18:40,98
14:18:45,96
14:19:00,96
14:19:01,95
14:19:11,96
14:19:16,97
14:19:21,98
14:19:26,99
14:19:31,100
14:19:36,101
14:19:46,100
14:20:01,100
14:20:11,99
14:20:21,102
14:20:26,103
14:20:31,101
14:20:36,100
14:20:41,96
14:20:46,94
14:20:51,92
14:21:06,93
14:21:11,93
14:21:21,94
14:21:36,94
14:21:46,95
14:21:51,96
14:21:56,97
14:22:01,100
14:22:06,104
14:22:11,103
14:22:16,102
14:22:21,103
14:22:26,104
14:22:36,105
14:22:41,104
